City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
539,serenje,-13.2325,30.2352,15.189999999999998,97,13,2.87,ZM,1706755480
540,san juan de miraflores,-12.1629,-76.9635,26.760000000000048,70,99,3.13,PE,1706755480
541,port augusta,-32.5,137.7667,28.629999999999995,26,0,5.94,AU,1706755467
542,acapulco de juarez,16.8634,-99.8901,27.900000000000034,74,20,5.66,MX,1706755318
543,egersund,58.4513,5.9997,3.9399999999999977,78,100,14.26,NO,1706755481
544,manado,1.487,124.8455,30.430000000000007,74,40,2.06,ID,1706755481
545,bairnsdale,-37.8333,147.6167,26.140000000000043,54,3,1.79,AU,1706755481
546,lamu,-2.2717,40.902,26.170000000000016,86,100,3.48,KE,1706755481
547,mitchell,43.7094,-98.0298,0.9900000000000091,86,0,0.0,US,1706755418
548,pochinok,54.4068,32.4407,-1.8199999999999932,99,100,5.42,RU,1706755482
549,kostomuksha,64.571,30.5767,0.020000000000038654,95,100,6.26,RU,1706755482
550,tanque verde,32.2517,-110.7373,20.210000000000036,40,90,2.24,US,1706755482
551,san antonio de pale,-1.4014,5.6325,27.55000000000001,81,100,5.15,GQ,1706755483
552,berdigestyakh,62.0989,126.6992,-28.149999999999977,96,100,1.99,RU,1706755483
553,tchollire,8.4022,14.1698,20.470000000000027,22,62,0.52,CM,1706755483
554,katsuren-haebaru,26.3369,127.8719,25.430000000000007,72,75,4.63,JP,1706755483
555,ebon,4.582,168.6964,28.33000000000004,74,89,1.4,MH,1706755484
556,williams lake,52.1415,-122.1445,11.140000000000043,65,100,10.8,CA,1706755484
557,cheremukhovo,60.3484,59.9851,-16.689999999999998,99,92,1.34,RU,1706755484
558,monroe,43.1501,-77.6831,4.0,84,100,3.6,US,1706755194
559,inari,68.906,27.0288,-0.8899999999999864,91,100,7.27,FI,1706755484
560,sanctuary point,-35.1114,150.629,27.960000000000036,60,1,5.46,AU,1706755485
561,tarrafal,15.2833,-23.7667,22.439999999999998,68,0,5.99,CV,1706755485
562,cururupu,-1.8283,-44.8683,24.870000000000005,97,94,1.38,BR,1706755485
563,six-fours-les-plages,43.0938,5.84,8.580000000000041,83,0,2.76,FR,1706755486
564,pasan,22.85,82.2,17.840000000000032,45,54,0.64,IN,1706755486
565,lauro de freitas,-12.8944,-38.3272,27.010000000000048,78,40,4.63,BR,1706755486
566,quellon,-43.1167,-73.6167,15.260000000000048,94,23,3.61,CL,1706755486
567,orchomenos,38.4929,22.9796,3.2800000000000296,65,3,2.24,GR,1706755487
568,coquimbo,-29.9533,-71.3436,17.850000000000023,88,0,3.09,CL,1706755398
569,coracao de jesus,-16.6853,-44.365,19.510000000000048,97,100,1.76,BR,1706755487
570,ardestan,33.3761,52.3694,1.660000000000025,48,7,1.1,IR,1706755487
571,batesville,35.7698,-91.641,6.080000000000041,78,1,1.82,US,1706755487
572,oranjemund,-28.55,16.4333,18.33000000000004,92,92,4.5,NA,1706755488
573,vieste,41.8825,16.175,9.82000000000005,68,86,4.12,IT,1706755488
574,nova vicosa,-17.8919,-39.3719,25.04000000000002,88,78,3.35,BR,1706755488
575,amahai,-3.3333,128.9167,29.970000000000027,69,52,2.66,ID,1706755488
576,nouadhibou,20.931,-17.0347,19.470000000000027,51,66,5.37,MR,1706755489
577,putian,25.4394,119.0103,22.33000000000004,78,96,2.05,CN,1706755263
578,keflavik,64.0049,-22.5624,0.2400000000000091,86,100,4.63,IS,1706755489
579,santa elena de uairen,4.6167,-61.1333,22.54000000000002,71,70,1.27,VE,1706755489
580,ghadamis,30.1337,9.5007,8.520000000000039,61,0,3.25,LY,1706755490
581,ulricehamn,57.7916,13.4142,2.4500000000000455,90,76,7.69,SE,1706755490
582,kasangulu,-4.5911,15.1708,22.52000000000004,95,100,1.07,CD,1706755490
583,murun-kuren,49.6342,100.1625,-18.549999999999983,88,75,1.39,MN,1706755490
584,savannakhet,16.566,104.751,23.010000000000048,78,75,2.06,LA,1706755491
585,port shepstone,-30.7414,30.455,22.650000000000034,84,78,8.1,ZA,1706755491
586,cartagena del chaira,1.3349,-74.8429,26.480000000000018,64,75,0.81,CO,1706755491
587,callao,-12.0667,-77.15,27.620000000000005,69,75,7.2,PE,1706755492
588,bodo,67.28,14.405,3.0200000000000387,78,100,9.26,NO,1706755492
589,monte argentario,42.4345,11.1195,2.890000000000043,79,87,2.45,IT,1706755492
590,plettenberg bay,-34.0527,23.3716,20.02000000000004,89,46,2.78,ZA,1706755492
591,villa bruzual,9.3328,-69.1208,26.980000000000018,66,46,2.62,VE,1706755492
592,sferracavallo,42.726,12.0956,8.25,92,100,1.04,IT,1706755493
